DayOfWeek,Delay,TotalFlights,PorcentageDelay
1,333192,1087794,0.3063006414817511
2,279497,1050354,0.2660979060392972
3,305912,1059851,0.288636798946267
4,345953,1069805,0.3233794943938381
5,366157,1074710,0.3407030733872394
6,236746,915626,0.258561901911916
7,312929,1017148,0.30765336017963957
1,273084,1013410,0.2694704019103818
2,252762,1005992,0.25125647122442324
3,250897,1016995,0.24670426108289617
4,276629,1011970,0.2733569176951886
5,309300,1008872,0.30658002204442186
6,206273,841663,0.2450778993492645
7,267370,956127,0.27963858357728627
